comment,category
"You're going to face consequences.","Threat"
"Keep going, you're doing great!","Support"
"Like for like, follow for follow.","Irrelevant/Spam"
"What about adding music?","Question/Suggestion"
"Touched my heart deeply.","Emotional"
"You can do it, don't stop!","Support"
"Outstanding quality, well done!","Praise"
"I appreciate the work but the colors are too bright.","Constructive Criticism"
"Watch your back.","Threat"
"This is awful, please stop.","Hate/Abuse"
"Phenomenal work, congratulations!","Praise"
"Don't let anyone bring you down!","Support"
"Good effort, but the timing feels rushed.","Constructive Criticism"
"This reminded me of my childhood.","Emotional"
"Cheap followers, DM me.","Irrelevant/Spam"
"Disgusting content, hate it.","Hate/Abuse"
"Buy my course for $99.","Irrelevant/Spam"
"Maybe try a different approach?","Question/Suggestion"
"Masterpiece! Amazing creativity!","Praise"
"How long did this take?","Question/Suggestion"
"This hits different, emotional.","Emotional"
"Decent content but needs better structure.","Constructive Criticism"
"I'll get you banned from everywhere.","Threat"
"Free money, click here!","Irrelevant/Spam"
"Nice concept but the delivery needs work.","Constructive Criticism"
"Could you make it longer?","Question/Suggestion"
"Best thing I've seen all day!","Praise"
"Random text here 12345.","Irrelevant/Spam"
"This is absolutely fantastic!","Praise"
"Stay motivated, you're amazing!","Support"
"Any tips for beginners?","Question/Suggestion"
"Brought tears to my eyes.","Emotional"
"We're rooting for you!","Support"
"Top-notch quality, fantastic!","Praise"
"Check out my profile!","Irrelevant/Spam"
"Legal action will be taken.","Threat"
"Stay strong, we believe in you!","Support"
"What inspired this work?","Question/Suggestion"
"Nice try, but the audio quality could be improved.","Constructive Criticism"
"What software did you use?","Question/Suggestion"
"I know where you live.","Threat"
"First! Like if you agree.","Irrelevant/Spam"
"This won't end well for you.","Threat"
"This speaks to my soul.","Emotional"
"Good concept but needs better execution.","Constructive Criticism"
"Could you do a tutorial?","Question/Suggestion"
"Click my link for prizes.","Irrelevant/Spam"
"How do I get started?","Question/Suggestion"
"Beautifully crafted, well done!","Praise"
"Absolutely love this content!","Praise"
"Decent work but the lighting could be better.","Constructive Criticism"
"Made me cry, so touching.","Emotional"
"Terrible work, no skill.","Hate/Abuse"
"Excellent presentation, loved it!","Praise"
"You're terrible at this, stop.","Hate/Abuse"
"I'll destroy your reputation.","Threat"
"Stunning visuals and great story!","Praise"
"Don't give up, you've got this!","Support"
"Solid foundation but needs more depth.","Constructive Criticism"
"Keep being yourself, it's great!","Support"
"We support you all the way!","Support"
"Any plans for a sequel?","Question/Suggestion"
"You're a joke, quit already.","Hate/Abuse"
"This is trash, quit now.","Hate/Abuse"
"Visit my website for deals.","Irrelevant/Spam"
"The idea is there but execution lacks finesse.","Constructive Criticism"
"Feeling overwhelmed with joy.","Emotional"
"Could you cover more details?","Question/Suggestion"
"This makes me feel understood.","Emotional"
"This is so meaningful to me.","Emotional"
"I'll ruin your career.","Threat"
"You're doing better than you think!","Support"
"Get rich quick, message me.","Irrelevant/Spam"
"Pathetic attempt, embarrassing.","Hate/Abuse"
"Completely useless, delete this.","Hate/Abuse"
"Incredible job on this project!","Praise"
"The content is good but needs better organization.","Constructive Criticism"
"Don't let anyone bring you down!","Support"
"Could you do a tutorial?","Question/Suggestion"
"I'll make sure everyone knows.","Threat"
"Nice try, but the colors are too dull.","Constructive Criticism"
"Sub4sub anyone?","Irrelevant/Spam"
"This brings back memories.","Emotional"
"Brilliant content, keep it up!","Praise"
"You're on the right track!","Support"
"Keep up the good work!","Support"
"Could you do a tutorial?","Question/Suggestion"
"Subscribe to my channel now!","Irrelevant/Spam"
"This is the worst thing ever.","Hate/Abuse"
"The animation was okay but the voiceover felt off.","Constructive Criticism"
"Perfectly captures my feelings.","Emotional"
"I'll make sure you pay for this.","Threat"
"You're in big trouble now.","Threat"
"Complete waste of space.","Hate/Abuse"
"Keep pushing forward!","Support"
"What camera do you use?","Question/Suggestion"
"aaaaaaaaaaaaaaaaaaaa","Irrelevant/Spam"
"Good attempt, but the transitions were jarring.","Constructive Criticism"
"Absolutely garbage, waste of time.","Hate/Abuse"
"Have you considered collaboration?","Question/Suggestion"
"So emotional, beautiful work.","Emotional"
"This sucks, do something else.","Hate/Abuse"
"Maybe try a different approach?","Question/Suggestion"
"We support you all the way!","Support"
"Good start but could use more detail.","Constructive Criticism"
"Could you make one on topic X?","Question/Suggestion"
"The message is clear but presentation needs polish.","Constructive Criticism"
"You're a joke, quit already.","Hate/Abuse"
"Legal action will be taken.","Threat"
"Good attempt, but the transitions were jarring.","Constructive Criticism"
"Feeling overwhelmed with joy.","Emotional"
"You're on the right track!","Support"
"Best thing I've seen all day!","Praise"
"This reminded me of my childhood.","Emotional"
"What camera do you use?","Question/Suggestion"
"Keep following your dreams!","Support"
"Touched my heart deeply.","Emotional"
"Feeling so nostalgic right now.","Emotional"
"Visit my website for deals.","Irrelevant/Spam"
"I liked the idea but the pacing was too slow.","Constructive Criticism"
"How do I get started?","Question/Suggestion"
"I'll make sure you pay for this.","Threat"
"Join my telegram group.","Irrelevant/Spam"
"Get rich quick, message me.","Irrelevant/Spam"
"The animation was okay but the voiceover felt off.","Constructive Criticism"
"This is trash, quit now.","Hate/Abuse"
"We're rooting for you!","Support"
"This won't end well for you.","Threat"
"Excellent presentation, loved it!","Praise"
"Absolute garbage, waste of time.","Hate/Abuse"
"Like for like, follow for follow.","Irrelevant/Spam"
"Nice try, but the audio quality could be improved.","Constructive Criticism"
"You're doing better than you think!","Support"
"This is absolutely fantastic!","Praise"
"Could you cover more details?","Question/Suggestion"
"First! Like if you agree.","Irrelevant/Spam"
"Maybe try a different approach?","Question/Suggestion"
"This speaks to my soul.","Emotional"
"You're terrible at this, stop.","Hate/Abuse"
"Stay motivated, you're amazing!","Support"
"What about adding music?","Question/Suggestion"
"Could you do a tutorial?","Question/Suggestion"
"Outstanding quality, well done!","Praise"
"Don't give up, you've got this!","Support"
"This brings back memories.","Emotional"
"Stunning visuals and great story!","Praise"
"I'll report you if this continues.","Threat"
"Cheap followers, DM me.","Irrelevant/Spam"
"Legal action will be taken.","Threat"
"You're a joke, quit already.","Hate/Abuse"
"Decent content but needs better structure.","Constructive Criticism"
"Perfectly captures my feelings.","Emotional"
"This is awful, please stop.","Hate/Abuse"
"Masterpiece! Amazing creativity!","Praise"
"Keep up the good work!","Support"
"This hits different, emotional.","Emotional"
"Solid foundation but needs more depth.","Constructive Criticism"
"Check out my profile!","Irrelevant/Spam"
"I'll destroy your reputation.","Threat"
"Any plans for a sequel?","Question/Suggestion"
"Phenomenal work, congratulations!","Praise"
"Good concept but needs better execution.","Constructive Criticism"
"Disgusting content, hate it.","Hate/Abuse"
"Buy my course for $99.","Irrelevant/Spam"
"You're going to face consequences.","Threat"
"You're in big trouble now.","Threat"
"Random text here 12345.","Irrelevant/Spam"
"You're a joke, quit already.","Hate/Abuse"
"Could you make one on topic X?","Question/Suggestion"
"This is so meaningful to me.","Emotional"
"Stay strong, we believe in you!","Support"
"Any tips for beginners?","Question/Suggestion"
"Don't let anyone bring you down!","Support"
"Keep being yourself, it's great!","Support"
"This makes me feel understood.","Emotional"
"Top-notch quality, fantastic!","Praise"
"What software did you use?","Question/Suggestion"
"Completely useless, delete this.","Hate/Abuse"
"This is the worst thing ever.","Hate/Abuse"
"Brilliant content, keep it up!","Praise"
"Have you considered collaboration?","Question/Suggestion"
"Could you make it longer?","Question/Suggestion"
"Brought tears to my eyes.","Emotional"
"Good start but could use more detail.","Constructive Criticism"
"What inspired this work?","Question/Suggestion"
"Subscribe to my channel now!","Irrelevant/Spam"
"You're in big trouble now.","Threat"
"Keep pushing forward!","Support"
"Maybe try a different approach?","Question/Suggestion"
"Decent work but the lighting could be better.","Constructive Criticism"
"Incredible job on this project!","Praise"
"I know where you live.","Threat"
"You're terrible at this, stop.","Hate/Abuse"
"Keep going, you're doing great!","Support"
"Watch your back.","Threat"
"Could you do a tutorial?","Question/Suggestion"
"This resonates with me deeply.","Emotional"
"Nice concept but the delivery needs work.","Constructive Criticism"
"Beautifully crafted, well done!","Praise"
"Could you make it longer?","Question/Suggestion"
"Complete waste of space.","Hate/Abuse"
"You'll be sorry you posted this.","Threat"
"Don't let anyone bring you down!","Support"
"How long did this take?","Question/Suggestion"
"Follow me for followers.","Irrelevant/Spam"
"You're on the right track!","Support"
"Nice try, but the colors are too dull.","Constructive Criticism"
"This sucks, do something else.","Hate/Abuse"
"You'll regret posting this.","Threat"
"The message is clear but presentation needs polish.","Constructive Criticism"
"Pathetic attempt, embarrassing.","Hate/Abuse"
"I'll make sure everyone knows.","Threat"
"Made me cry, so touching.","Emotional"
"I appreciate the work but the colors are too bright.","Constructive Criticism"
"You're doing better than you think!","Support"
"Don't give up, you've got this!","Support"
"Phenomenal work, congratulations!","Praise"
"Any plans for a sequel?","Question/Suggestion"
"Terrible work, no skill.","Hate/Abuse"
"This reminded me of my childhood.","Emotional"
"What camera do you use?","Question/Suggestion"
"The idea is there but execution lacks finesse.","Constructive Criticism"
"We support you all the way!","Support"
"You're a joke, quit already.","Hate/Abuse"
"I'll ruin your career.","Threat"
"Excellent presentation, loved it!","Praise"
"How do I get started?","Question/Suggestion"
"aaaaaaaaaaaaaaaaaaaa","Irrelevant/Spam"
"This reminded me of my childhood.","Emotional"
"Don't give up, you've got this!","Support"
"I'll get you banned from everywhere.","Threat"
"Follow me for followers.","Irrelevant/Spam"
"What's your next project?","Question/Suggestion"
"I'll report you if this continues.","Threat"
"Buy my course for $99.","Irrelevant/Spam"
"You're terrible at this, stop.","Hate/Abuse"
"Free money, click here!","Irrelevant/Spam"
"This brings back memories.","Emotional"
"I'll make sure you pay for this.","Threat"
"Stay motivated, you're amazing!","Support"
"You're a joke, quit already.","Hate/Abuse"
"You're going to face consequences.","Threat"
"You're in big trouble now.","Threat"
"How do I get started?","Question/Suggestion"
"I'll report you if this continues.","Threat"
"The idea is there but execution lacks finesse.","Constructive Criticism"
"Good start but could use more detail.","Constructive Criticism"
"Check out my profile!","Irrelevant/Spam"
"Keep being yourself, it's great!","Support"
"This makes me feel understood.","Emotional"
"This is awful, please stop.","Hate/Abuse"
"Maybe try a different approach?","Question/Suggestion"
"Solid foundation but needs more depth.","Constructive Criticism"
"This is the worst thing ever.","Hate/Abuse"
"This speaks to my soul.","Emotional"
"Stunning visuals and great story!","Praise"
"Keep pushing forward!","Support"
"Visit my website for deals.","Irrelevant/Spam"
"Could you make it longer?","Question/Suggestion"
"How long did this take?","Question/Suggestion"
"Could you do a tutorial?","Question/Suggestion"
"Random text here 12345.","Irrelevant/Spam"
"Keep following your dreams!","Support"
"Could you cover more details?","Question/Suggestion"
"Don't let anyone bring you down!","Support"
"Beautifully crafted, well done!","Praise"
"Terrible work, no skill.","Hate/Abuse"
"This hits different, emotional.","Emotional"
"Excellent presentation, loved it!","Praise"
"Good concept but needs better execution.","Constructive Criticism"
"Nice try, but the audio quality could be improved.","Constructive Criticism"
"Cheap followers, DM me.","Irrelevant/Spam"
"I'll ruin your career.","Threat"
"This resonates with me deeply.","Emotional"
"What inspired this work?","Question/Suggestion"
"Nice concept but the delivery needs work.","Constructive Criticism"
"Top-notch quality, fantastic!","Praise"
"This is so meaningful to me.","Emotional"
"Disgusting content, hate it.","Hate/Abuse"
"Join my telegram group.","Irrelevant/Spam"
"This sucks, do something else.","Hate/Abuse"
"Don't give up, you've got this!","Support"
"You're doing better than you think!","Support"
"Outstanding quality, well done!","Praise"
"This reminded me of my childhood.","Emotional"
"You're on the right track!","Support"
"Could you make one on topic X?","Question/Suggestion"
"Absolute garbage, waste of time.","Hate/Abuse"
"Pathetic attempt, embarrassing.","Hate/Abuse"
"Like for like, follow for follow.","Irrelevant/Spam"
"Any plans for a sequel?","Question/Suggestion"
"This is trash, quit now.","Hate/Abuse"
"Any tips for beginners?","Question/Suggestion"
"Legal action will be taken.","Threat"
"I know where you live.","Threat"
"This reminded me of my childhood.","Emotional"
"This is absolutely fantastic!","Praise"
"Don't give up, you've got this!","Support"
"Get rich quick, message me.","Irrelevant/Spam"
"You're a joke, quit already.","Hate/Abuse"
"Brilliant content, keep it up!","Praise"
"I'll make sure you pay for this.","Threat"
"I'll make sure everyone knows.","Threat"
"What's your next project?","Question/Suggestion"
"What's your next project?","Question/Suggestion"
"Made me cry, so touching.","Emotional"
"I'll report you if this continues.","Threat"
"Outstanding quality, well done!","Praise"
"I liked the idea but the pacing was too slow.","Constructive Criticism"
"This reminded me of my childhood.","Emotional"
"Good attempt, but the transitions were jarring.","Constructive Criticism"
"Complete waste of space.","Hate/Abuse"
"Stay motivated, you're amazing!","Support"
"Feeling overwhelmed with joy.","Emotional"
"Random text here 12345.","Irrelevant/Spam"
"You have no talent, give up.","Hate/Abuse"
"Sub4sub anyone?","Irrelevant/Spam"
"I'll make sure you regret this.","Threat"
"Your progress is inspiring!","Support"
"Follow me for daily giveaways!","Irrelevant/Spam"
"Have you considered using different fonts?","Question/Suggestion"
"This resonated with me on so many levels.","Emotional"
"Keep shining, you're unstoppable!","Support"
"Exceptional craftsmanship!","Praise"
"Interesting perspective, though the pacing could improve.","Constructive Criticism"
"You'll pay for what you did.","Threat"
"Disgraceful content, delete this.","Hate/Abuse"
"Breathtaking work, truly remarkable!","Praise"
"Stay strong through the challenges!","Support"
"Good foundation but needs more polish.","Constructive Criticism"
"This transported me back to my youth.","Emotional"
"Double your followers in one day!","Irrelevant/Spam"
"Absolutely vile, should be banned.","Hate/Abuse"
"Limited time NFT offer!","Irrelevant/Spam"
"Would a different color scheme work better?","Question/Suggestion"
"Pure genius! Masterful execution!","Praise"
"What inspired this character design?","Question/Suggestion"
"Tears are streaming down my face.","Emotional"
"Solid effort but the audio needs work.","Constructive Criticism"
"I know where your kids go to school.","Threat"
"Earn $1000 daily with this trick!","Irrelevant/Spam"
"Great potential but the ending fell flat.","Constructive Criticism"
"Could you explain your process more?","Question/Suggestion"
"Instant classic! Worth every second!","Praise"
"asdfghjkl random keyboard smash","Irrelevant/Spam"
"Perfection achieved! Bravo!","Praise"
"Your dedication is paying off!","Support"
"How did you achieve that effect?","Question/Suggestion"
"My heart is so full right now.","Emotional"
"The world needs your talent!","Support"
"Flawless execution, magnificent!","Praise"
"Join my pyramid scheme today!","Irrelevant/Spam"
"Lawyers will be contacting you.","Threat"
"You're capable of amazing things!","Support"
"What equipment do you recommend?","Question/Suggestion"
"Good start but the middle section drags.","Constructive Criticism"
"Which plugins did you use for this?","Question/Suggestion"
"Sleep with one eye open.","Threat"
"First comment! Like for luck!","Irrelevant/Spam"
"You'll wish you never posted this.","Threat"
"This healed something in me.","Emotional"
"Creative vision but inconsistent quality.","Constructive Criticism"
"Would love to see a part two!","Question/Suggestion"
"Free iPhone just click here!","Irrelevant/Spam"
"What's your creative process like?","Question/Suggestion"
"Absolute perfection! Stunning!","Praise"
"New favorite content creator!","Praise"
"Strong message but poor visuals.","Constructive Criticism"
"Never felt so understood before.","Emotional"
"Amateur hour over here.","Hate/Abuse"
"Masterclass in storytelling!","Praise"
"Give up already, you suck.","Hate/Abuse"
"Your career ends today.","Threat"
"Visual poetry in motion!","Praise"
"Small steps lead to big victories!","Support"
"Original idea but confusing execution.","Constructive Criticism"
"Your authenticity is your superpower!","Support"
"Team you all the way!","Support"
"Any behind-the-scenes content coming?","Question/Suggestion"
"Worthless content from a talentless hack.","Hate/Abuse"
"Delete your account immediately.","Hate/Abuse"
"50% off my premium course!","Irrelevant/Spam"
"Great concept hampered by technical issues.","Constructive Criticism"
"My soul needed this today.","Emotional"
"Could you break down step three more?","Question/Suggestion"
"This sees right through me.","Emotional"
"You've changed my perspective.","Emotional"
"Say goodbye to your reputation.","Threat"
"Progress over perfection! You're killing it!","Support"
"Make $10k monthly from home!","Irrelevant/Spam"
"Laughably bad attempt.","Hate/Abuse"
"Embarrassing waste of bandwidth.","Hate/Abuse"
"Redefining excellence!","Praise"
"Strong fundamentals but needs refinement.","Constructive Criticism"
"Your resilience is admirable!","Support"
"Would you consider making a series?","Question/Suggestion"
"Evidence has been collected.","Threat"
"Good attempt but the lighting is off.","Constructive Criticism"
"Like4like? Comment4comment?","Irrelevant/Spam"
"This unlocked a core memory.","Emotional"
"Artistry at its finest!","Praise"
"Every setback is setup for comeback!","Support"
"Consistency is your strength!","Support"
"Any plans to expand this universe?","Question/Suggestion"
"Subscribe for daily crypto tips!","Irrelevant/Spam"
"Humanity is worse for this existing.","Hate/Abuse"
"Great cinematography but weak script.","Constructive Criticism"
"You've articulated my unspoken feelings.","Emotional"
"Revenge will be sweet.","Threat"
"Your days are numbered.","Threat"
"Should be illegal to post this trash.","Hate/Abuse"
"Growth is happening! Keep going!","Support"
"What editing software is that?","Question/Suggestion"
"qwertyuiop random typing","Irrelevant/Spam"
"Promising start but uneven execution.","Constructive Criticism"
"Literally the worst thing online.","Hate/Abuse"
"Your potential is limitless!","Support"
"Have you tried different camera angles?","Question/Suggestion"
"Touched something deep in my psyche.","Emotional"
"Revolutionary approach!","Praise"
"The composition could use more balance.","Constructive Criticism"
"Can't wait to see what's next!","Support"
"Your vulnerability is powerful.","Emotional"
"Reported for being awful.","Hate/Abuse"
"Instant subscribe! Brilliant!","Praise"
"Would love a reaction video to this!","Question/Suggestion"
"Your family will hear about this.","Threat"
"Scam-free investment opportunities!","Irrelevant/Spam"
"More heart than skill unfortunately.","Constructive Criticism"
"Never related to anything more.","Emotional"
"Delete this and start over.","Hate/Abuse"
"Visionary work! Inspiring!","Praise"
"The rhythm feels inconsistent.","Constructive Criticism"
"Your courage is commendable!","Support"
"Have you considered podcasting?","Question/Suggestion"
"Childhood trauma resurfaced.","Emotional"
"Worthless content creator.","Hate/Abuse"
"Technical mastery on display!","Praise"
"Your haters fuel your greatness!","Support"
"Could benefit from tighter editing.","Constructive Criticism"
"First time crying in years.","Emotional"
"Pathetic display of 'talent'.","Hate/Abuse"
"Setting new standards!","Praise"
"The textures could be more varied.","Constructive Criticism"
"Your growth is noticeable!","Support"
"What's your next project?","Question/Suggestion"
"Emotional damage achieved.","Emotional"
"Should come with a warning label.","Hate/Abuse"
"Transcendent creative expression!","Praise"
"Your consistency is impressive!","Support"
"The framing could be more dynamic.","Constructive Criticism"
"Core memory unlocked.","Emotional"
"Not worth the electricity to display.","Hate/Abuse"
"Redefining the medium!","Praise"
"Have you tried different narrators?","Question/Suggestion"
"Childhood memories flooding back.","Emotional"
"Reported for low quality.","Hate/Abuse"
"Boundary-pushing creativity!","Praise"
"The transitions need smoothing.","Constructive Criticism"
"Your passion shines through!","Support"
"Would you collaborate with others?","Question/Suggestion"
"Tears of joy streaming down.","Emotional"
"Absolute dumpster fire.","Hate/Abuse"
"Cultural reset achieved!","Praise"
"The color grading seems inconsistent.","Constructive Criticism"
"Your journey inspires us all!","Support"
"Any advice for aspiring creators?","Question/Suggestion"
"Soul-crushing in the best way.","Emotional"
"Should be studied in art schools.","Praise"
"The audio mix needs adjustment.","Constructive Criticism"
"Your authenticity is refreshing!","Support"
"Have you thought about merch?","Question/Suggestion"
"Healing through art.","Emotional"
"New benchmark for excellence!","Praise"
"The pacing lags in the middle.","Constructive Criticism"
"Your work makes a difference!","Support"
"Could you share your references?","Question/Suggestion"
"Emotional whiplash achieved.","Emotional"
"Waste of creative potential.","Hate/Abuse"
"Historic achievement in media!","Praise"
"The character arcs need development.","Constructive Criticism"
"Your voice matters! Keep going!","Support"
"Would you consider teaching?","Question/Suggestion"
"Tears of recognition flowing.","Emotional"
"Should be required viewing.","Praise"
"The world needs your perspective!","Support"
"You've outdone yourself this time!","Praise"
"Your negativity won't be tolerated here.","Threat"
"DM for promo deals!","Irrelevant/Spam"
"Have you thought about live streaming?","Question/Suggestion"
"This shattered my heart into pieces.","Emotional"
"Every masterpiece starts somewhere - keep going!","Support"
"Technical brilliance with emotional depth!","Praise"
"The color palette could be more cohesive.","Constructive Criticism"
"I'll expose all your secrets.","Threat"
"Zero talent, maximum cringe.","Hate/Abuse"
"Subscribe for free Robux!","Irrelevant/Spam"
"Would darker shadows improve the mood?","Question/Suggestion"
"You've created something timeless here.","Praise"
"Your haters are just fans in denial!","Support"
"The third act needs stronger buildup.","Constructive Criticism"
"This unearthed buried memories.","Emotional"
"First comment! Tag three friends!","Irrelevant/Spam"
"Your potential is being wasted.","Hate/Abuse"
"Can you share your color grading process?","Question/Suggestion"
"Art that speaks to generations.","Praise"